时间,重量,总数
2026-04-16 17:29:53,100.000,1
2026-04-16 17:29:57,100.000,2
2026-04-16 17:30:00,100.000,3
2026-04-16 17:30:06,100.000,1
2026-04-16 17:30:10,100.000,2
2026-04-16 17:30:13,100.000,3
2026-04-16 17:30:17,100.000,4
2026-04-16 17:30:20,100.000,5
2026-04-16 17:40:15,100.000,1
2026-04-16 17:40:18,100.000,2
2026-04-16 17:40:21,100.000,3
2026-04-16 17:40:25,100.000,4
2026-04-16 17:40:28,100.000,5
2026-04-16 17:40:36,100.000,1
2026-04-16 17:40:39,100.000,2
2026-04-16 17:40:42,100.000,3
2026-04-16 17:40:48,100.000,4
2026-04-16 19:50:15,100.000,1
2026-04-16 19:53:52,100.000,1
2026-04-16 19:55:17,100.000,1
2026-04-16 20:15:52,100.000,1
2026-04-16 20:15:55,100.000,2
2026-04-16 20:16:03,100.000,3
2026-04-16 20:30:22,100.000,1
2026-04-16 20:30:55,100.000,2
2026-04-16 20:31:01,100.000,3
2026-04-16 20:37:52,100.000,1
2026-04-16 20:37:55,100.000,2
2026-04-16 20:37:59,100.000,3
2026-04-16 20:38:02,100.000,4
2026-04-16 20:38:15,100.000,1
2026-04-16 20:38:18,100.000,2
2026-04-16 20:38:21,100.000,3
2026-04-16 20:38:24,100.000,4
